Id;Client;ClientEmail;Service;Prix;Duree;Employe;Date;HeureDebut;HeureFin;Statut;Paiement;Notes
example-apt-1;Client Exemple 1;client1@exemple.com;Coiffure;66;90;Marc B.;28/03/2025 01:42:55;10:30;10:00;Terminé;Payé;Notes d'exemple pour le rendez-vous 1
example-apt-2;Client Exemple 2;client2@exemple.com;Brushing;55;45;Thomas M.;30/03/2025 01:42:55;15:15;12:15;Confirmé;En attente;Notes d'exemple pour le rendez-vous 2
example-apt-3;Client Exemple 3;client3@exemple.com;Brushing;53;45;Marc B.;03/04/2025 01:42:55;11:15;17:00;Confirmé;Payé;Notes d'exemple pour le rendez-vous 3
example-apt-4;Client Exemple 4;client4@exemple.com;Soin;21;30;Marc B.;10/04/2025 01:42:55;13:30;14:30;Terminé;Payé;Notes d'exemple pour le rendez-vous 4
example-apt-5;Client Exemple 5;client5@exemple.com;Brushing;34;60;Sarah D.;15/04/2025 01:42:55;9:30;15:00;Terminé;Payé;Notes d'exemple pour le rendez-vous 5
example-apt-6;Client Exemple 6;client6@exemple.com;Coloration;56;45;Sarah D.;21/04/2025 01:42:55;14:15;10:15;En attente;En attente;Notes d'exemple pour le rendez-vous 6
example-apt-7;Client Exemple 7;client7@exemple.com;Soin;29;30;Julie L.;26/03/2025 01:42:55;14:30;16:45;Annulé;Payé;Notes d'exemple pour le rendez-vous 7
example-apt-8;Client Exemple 8;client8@exemple.com;Soin;58;60;Lucie F.;27/03/2025 01:42:55;14:45;12:30;Annulé;En attente;Notes d'exemple pour le rendez-vous 8
example-apt-9;Client Exemple 9;client9@exemple.com;Coloration;42;30;Sarah D.;09/04/2025 01:42:55;15:00;10:45;Terminé;Remboursé;Notes d'exemple pour le rendez-vous 9
example-apt-10;Client Exemple 10;client10@exemple.com;Soin;34;120;Marc B.;05/04/2025 01:42:55;16:15;15:15;Annulé;Remboursé;Notes d'exemple pour le rendez-vous 10
